rank,game_id,game,team,opponent,side,raw_probability,fair_price,raw_prediction_score,stat_support,pitch_type_support,environment_support,role_volume_support,risk_flags,market_value,final_recommendation
11,822746,Milwaukee Brewers@Washington Nationals,Milwaukee Brewers,Washington Nationals,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
12,822746,Milwaukee Brewers@Washington Nationals,Washington Nationals,Milwaukee Brewers,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
13,824771,Houston Astros@Boston Red Sox,Houston Astros,Boston Red Sox,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR favorable; Opus cites Fenway wind-out/HR boost for Yordan Alvarez; GPT PDF park-factor table conflicts lower.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
14,824771,Houston Astros@Boston Red Sox,Boston Red Sox,Houston Astros,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR favorable; Opus cites Fenway wind-out/HR boost for Yordan Alvarez; GPT PDF park-factor table conflicts lower.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
15,823876,Philadelphia Phillies@Miami Marlins,Philadelphia Phillies,Miami Marlins,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
16,823876,Philadelphia Phillies@Miami Marlins,Miami Marlins,Philadelphia Phillies,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
17,822988,San Francisco Giants@Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Tropicana roof/dome context; exact Ballpark Pal values not supplied in Opus.; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
18,822988,San Francisco Giants@Tampa Bay Rays,Tampa Bay Rays,San Francisco Giants,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Tropicana roof/dome context; exact Ballpark Pal values not supplied in Opus.; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
19,823067,Los Angeles Dodgers@St. Louis Cardinals,Los Angeles Dodgers,St. Louis Cardinals,away,0.5,-100,50.0,unavailable,unavailable,"run unfavorable; HR favorable; GPT PDF lists Busch factors, while Opus treats weather as neutral; use low confidence for conflict.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.",unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
20,823067,Los Angeles Dodgers@St. Louis Cardinals,St. Louis Cardinals,Los Angeles Dodgers,home,0.5,-100,50.0,unavailable,unavailable,"run unfavorable; HR favorable; GPT PDF lists Busch factors, while Opus treats weather as neutral; use low confidence for conflict.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.",unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
21,824284,Texas Rangers@Detroit Tigers,Texas Rangers,Detroit Tigers,away,0.5,-100,50.0,unavailable,unavailable,run favorable; HR favorable; GPT PDF cites Comerica as boosted for run/HR context; Opus cites cold weather but wind out.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.; High run factor increases volatility.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
22,824284,Texas Rangers@Detroit Tigers,Detroit Tigers,Texas Rangers,home,0.5,-100,50.0,unavailable,unavailable,run favorable; HR favorable; GPT PDF cites Comerica as boosted for run/HR context; Opus cites cold weather but wind out.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.; High run factor increases volatility.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
23,824365,Atlanta Braves@Colorado Rockies,Atlanta Braves,Colorado Rockies,away,0.5,-100,50.0,unavailable,unavailable,run favorable; HR favorable; Opus states Coors +13% runs and +23% HR; GPT PDF uses larger 1.30/1.50 park factors.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; High run factor increases volatility.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
24,824365,Atlanta Braves@Colorado Rockies,Colorado Rockies,Atlanta Braves,home,0.5,-100,50.0,unavailable,unavailable,run favorable; HR favorable; Opus states Coors +13% runs and +23% HR; GPT PDF uses larger 1.30/1.50 park factors.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; High run factor increases volatility.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
25,823308,Chicago White Sox@San Diego Padres,Chicago White Sox,San Diego Padres,away,0.5,-100,50.0,unavailable,unavailable,run unfavorable; HR unfavorable; Petco pitcher-friendly context; numeric values from GPT PDF.; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
26,823308,Chicago White Sox@San Diego Padres,San Diego Padres,Chicago White Sox,home,0.5,-100,50.0,unavailable,unavailable,run unfavorable; HR unfavorable; Petco pitcher-friendly context; numeric values from GPT PDF.; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
27,824042,New York Mets@Los Angeles Angels,New York Mets,Los Angeles Angels,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
28,824042,New York Mets@Los Angeles Angels,Los Angeles Angels,New York Mets,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
29,823144,Kansas City Royals@Seattle Mariners,Kansas City Royals,Seattle Mariners,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
30,823144,Kansas City Royals@Seattle Mariners,Seattle Mariners,Kansas City Royals,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
